Date,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Daily Obs Count,Percent Complete,AQS Parameter Description,CBSA Name,co_rolling_30d_mean,aqi_rolling_30d_mean
2023-01-01,0.5,ppm,6,19,79,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-02,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-03,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-04,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-05,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-06,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-07,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-08,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-09,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-10,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-11,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-12,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-13,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-14,0.6,ppm,7,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-15,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-16,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-17,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-18,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-19,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-20,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-21,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-22,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-23,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-24,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-25,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-26,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-27,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-28,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-29,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",,
2023-01-30,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2333,2.5667
2023-01-31,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2267,2.4667
2023-02-01,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2267,2.4667
2023-02-02,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.23,2.5
2023-02-03,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2433,2.6667
2023-02-04,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2467,2.7
2023-02-05,0.1,ppm,1,15,63,Carbon monoxide,"Kansas City, MO-KS",0.2333,2.5333
2023-02-06,0.1,ppm,1,3,13,Carbon monoxide,"Kansas City, MO-KS",0.2333,2.5333
2023-02-07,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2367,2.6
2023-02-08,0.6,ppm,7,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2467,2.7333
2023-02-09,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.24,2.6333
2023-02-10,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",0.24,2.6333
2023-02-11,0.7,ppm,8,24,100,Carbon monoxide,"Kansas City, MO-KS",0.26,2.8667
2023-02-12,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2633,2.9
2023-02-13,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2533,2.7667
2023-02-14,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2567,2.8
2023-02-15,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.26,2.8333
2023-02-16,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2633,2.8667
2023-02-17,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.27,2.9333
2023-02-18,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2733,2.9667
2023-02-19,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2733,2.9667
2023-02-20,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2767,3.0333
2023-02-21,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.28,3.0667
2023-02-22,0.2,ppm,2,18,75,Carbon monoxide,"Kansas City, MO-KS",0.28,3.0667
2023-02-23,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.27,2.9333
2023-02-24,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2667,2.9
2023-02-25,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.27,2.9333
2023-02-26,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2733,2.9667
2023-02-27,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2767,3.0
2023-02-28,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2867,3.1333
2023-03-01,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2933,3.2333
2023-03-02,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.29,3.2
2023-03-03,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",0.3033,3.3667
2023-03-04,0.5,ppm,6,24,100,Carbon monoxide,"Kansas City, MO-KS",0.3133,3.5
2023-03-05,0.3,ppm,3,24,100,Carbon monoxide,"Kansas City, MO-KS",0.3067,3.4
2023-03-06,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.3033,3.3667
2023-03-07,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.3067,3.4
2023-03-08,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.31,3.4333
2023-03-09,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.3,3.3
2023-03-10,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2833,3.1
2023-03-11,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.28,3.0667
2023-03-12,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.27,2.9333
2023-03-13,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.25,2.7
2023-03-14,0.4,ppm,5,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2467,2.6667
2023-03-15,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.24,2.6
2023-03-16,0.2,ppm,2,24,100,Carbon monoxide,"Kansas City, MO-KS",0.24,2.6
2023-03-17,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2367,2.5667
2023-03-18,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2333,2.5333
2023-03-19,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2267,2.4667
2023-03-20,0.1,ppm,1,24,100,Carbon monoxide,"Kansas City, MO-KS",0.2233,2.4333
